Column,UDI,Count,Type,Description
0,eid,502641,Sequence,Encoded anonymised participant ID
1,21-0.0,500926,Categorical (single),Weight method Uses data-coding 100261 comprises 5 Integer-valued members in a simple list.
2,21-1.0,20337
3,21-2.0,11089
4,23-0.0,456699,Categorical (single),Spirometry method Uses data-coding 100270 comprises 5 Integer-valued members in a simple list.
5,23-1.0,18137
6,23-2.0,10175
7,31-0.0,502641,Categorical (single),Sex Uses data-coding 9 comprises 2 Integer-valued members in a simple list.
8,34-0.0,502641,Integer,Year of birth
9,46-0.0,499231,Integer,Hand grip strength (left)
10,46-1.0,20202
11,46-2.0,11066
12,47-0.0,499298,Integer,Hand grip strength (right)
13,47-1.0,20217
14,47-2.0,11059
15,48-0.0,500481,Continuous,Waist circumference
16,48-1.0,20325
17,48-2.0,11088
18,49-0.0,500422,Continuous,Hip circumference
19,49-1.0,20320
20,49-2.0,11089
21,50-0.0,500102,Continuous,Standing height
22,50-1.0,20316
23,50-2.0,11086
24,52-0.0,502641,Categorical (single),Month of birth Uses data-coding 8 comprises 12 Integer-valued members in a simple list.
25,53-0.0,502641,Date,Date of attending assessment centre
26,53-1.0,20348
27,53-2.0,11130
28,54-0.0,502641,Categorical (single),UK Biobank assessment centre Uses data-coding 10 comprises 24 Integer-valued members in a simple list.
29,54-1.0,20346
30,54-2.0,11043
31,84-0.0,41706,Integer,Cancer year/age first occurred Uses data-coding 37 comprises 2 Integer-valued members in a simple list.
32,84-0.1,2777
33,84-0.2,273
34,84-0.3,40
35,84-0.4,8
36,84-0.5,2
37,84-1.0,2280
38,84-1.1,139
39,84-1.2,13
40,84-1.3,1
41,84-1.4,0
42,84-1.5,0
43,84-2.0,1308
44,84-2.1,84
45,84-2.2,5
46,84-2.3,1
47,84-2.4,0
48,84-2.5,0
49,87-0.0,375141,Integer,Non-cancer illness year/age first occurred Uses data-coding 37 comprises 2 Integer-valued members in a simple list.
50,87-0.1,241029
51,87-0.2,142204
52,87-0.3,79376
53,87-0.4,43410
54,87-0.5,23746
55,87-0.6,12991
56,87-0.7,7116
57,87-0.8,4086
58,87-0.9,2350
59,87-0.10,1397
60,87-0.11,839
61,87-0.12,508
62,87-0.13,308
63,87-0.14,199
64,87-0.15,128
65,87-0.16,79
66,87-0.17,53
67,87-0.18,30
68,87-0.19,21
69,87-0.20,16
70,87-0.21,10
